,headlines,links
0,Shaw's comeback to be delayed,https://www.cricbuzz.com/cricket-news/129192/shaws-comeback-to-be-delayed
1,TATA retain IPL title rights until 2028,https://www.cricbuzz.com/cricket-news/129191/tata-retain-ipl-title-rights-until-2028
2,Zaka Ashraf resigns as PCB Chairman,https://www.cricbuzz.com/cricket-news/129190/zaka-ashraf-resigns-as-pcb-chairman
3,"People have written us off, we're using that as motivation: Neil Brand",https://www.cricbuzz.com/cricket-news/129189/people-have-written-us-off-were-using-that-as-motivation-neil-brand
4,Mickey Arthur leads resignation spree at Pakistan's NCA,https://www.cricbuzz.com/cricket-news/129180/mickey-arthur-leads-resignation-spree-at-pakistans-nca
5,BPL resists changes despite manifold challenges,https://www.cricbuzz.com/cricket-news/129179/bpl-resists-changes-despite-manifold-challenges
6,"SLC set to rope in Jonty Rhodes, Bharat Arun to its coaching setup",https://www.cricbuzz.com/cricket-news/129178/slc-set-to-rope-in-jonty-rhodes-bharat-arun-to-its-coaching-setup
7,Really good gut call from Rohit: Dravid on Bishnoi decision,https://www.cricbuzz.com/cricket-news/129172/really-good-gut-call-from-rohit-dravid-on-bishnoi-decision
8,Rohit Sharma in first Super Over: Retired out or Retired not-out?,https://www.cricbuzz.com/cricket-news/129171/rohit-sharma-in-first-super-over-retired-out-or-retired-not-out
9,"Rohit, Rinku and Gulbadin star in Chinnaswamy thriller",https://www.cricbuzz.com/cricket-news/129168/rohit-rinku-and-gulbadin-star-in-chinnaswamy-thriller
